id,name,categories,latitude,longitude,address,zip_code,price,rating,review_count,url
IFwIaskQsgpupbjKBPFzjg,Tacaso El Amigo,"['mexican', 'foodtrucks']",30.4340678,-97.7707774,8669-8687 Spicewood Springs Rd,78759,$,4.5,43,https://www.yelp.com/biz/tacaso-el-amigo-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
AmXr5hVzV194fpTaNwaeIQ,Aroi Thai Cuisine,"['thai', 'foodtrucks']",30.20856902,-97.97473517,12024 W Hwy 290,78737,$,4,99,https://www.yelp.com/biz/aroi-thai-cuisine-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
JCfnVfQTxcGX-AmCgmvDnQ,Leroy and Lewis Barbecue,"['foodtrucks', 'bbq']",30.227405,-97.762673,121 Pickle Rd,78704,$$,4,74,https://www.yelp.com/biz/leroy-and-lewis-barbecue-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
JxG6po9-8pe6NYj-qiRBAw,Killa Wasi,"['foodtrucks', 'peruvian', 'breakfast_brunch']",30.2569873,-97.69338582,828 Airport Blvd,78702,$,4.5,28,https://www.yelp.com/biz/killa-wasi-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
yTlqf2RcB9zW3toWzUl2qg,Taco Man 512,"['foodtrucks', 'tacos']",30.24826,-97.74961,1511 S Congress Ave,78704,,5,4,https://www.yelp.com/biz/taco-man-512-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
sBouMzFxqlOTF55flxdHxw,Ladybird's Austin Kitchen,"['foodtrucks', 'bbq', 'vegetarian']",30.26313335,-97.72592906,1606 East 6th St,78702,,5,1,https://www.yelp.com/biz/ladybirds-austin-kitchen-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
jHYuWOnwNKYXTKGPtLuz_g,Atia's Kitchen,"['pakistani', 'foodtrucks']",30.18517,-97.79212,7800 S 1st St,78745,,4.5,24,https://www.yelp.com/biz/atias-kitchen-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
kyA0MatdcdVMEWQVYoz3xA,Travaasa Farm Truck,['foodtrucks'],30.26268565,-97.74427872,5500-5508 Ridge Oak Dr,78701,$,4,5,https://www.yelp.com/biz/travaasa-farm-truck-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
V0taUf9g1K8lGITt81jbAQ,Kiki's Kitchen,['foodtrucks'],30.22859287,-97.74485493,2800 South Ih 35,78704,$,4.5,3,https://www.yelp.com/biz/kikis-kitchen-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
0wu_75_1HQtIog3p2Qz_pQ,Scotty's BBQ,"['bbq', 'foodtrucks']",30.253308,-97.712918,2730 E Ceasar Chavez,78702,$$,4.5,211,https://www.yelp.com/biz/scottys-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
A7SLTi5C5w51ep0hrBAEWA,Shawarma Point,"['halal', 'mideastern', 'foodtrucks']",30.267232,-97.737181,519 E 7th St,78701,$,4,70,https://www.yelp.com/biz/shawarma-point-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
uSEpSKMhIruSersdsEnsCg,BBQ Revolution,"['foodtrucks', 'bbq']",30.25434,-97.70557,3301 East 5th St,78702,$,4,115,https://www.yelp.com/biz/bbq-revolution-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
vvg-4h2G-YFut0jiaS7BAA,Chi'Lantro,"['korean', 'bbq', 'foodtrucks']",30.25191879,-97.76351166,1509 S Lamar Blvd,78704,$,3,20,https://www.yelp.com/biz/chilantro-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
TRw2wbjkyl28Fj-E7b18Sw,Kike's Tacos,['foodtrucks'],30.37988197,-97.68789801,,,$,5,8,https://www.yelp.com/biz/kikes-tacos-north-lamar?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
WckDYa_CJfEJWHwPqo4L1w,The Mix-up,['foodtrucks'],30.2572105,-97.7464299,343 South Congress Ave,78704,$$,5,1,https://www.yelp.com/biz/the-mix-up-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
_4BoCdOL4h__GWkKUF4AAQ,Redfin Mobile Kitchen,"['foodtrucks', 'seafood']",30.4212141,-97.8454272,8300 N Fm 620,78726,$,3.5,13,https://www.yelp.com/biz/redfin-mobile-kitchen-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
JVNjc7JBCnguka0nRykF6Q,La Monarca,"['foodtrucks', 'mexican']",30.1126283,-97.3802482,834 TX-71,78704,,5,2,https://www.yelp.com/biz/la-monarca-bastrop?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
HONfVgeAAO14bq2kA0OORQ,La Fogata Tacos,['foodtrucks'],30.34763965,-97.7359742,8513 Burnet Rd,78757,$,4,23,https://www.yelp.com/biz/la-fogata-tacos-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
lD3_dT5rbdaVHCyTKB4dfg,Kerlin BBQ,"['bbq', 'foodtrucks', 'tradamerican']",30.25790569,-97.72573765,1700 E Cesar Chavez,78702,$$,4.5,266,https://www.yelp.com/biz/kerlin-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
hN-SFa0HixPIbnhJZyapZQ,A Touch Of Fire,['foodtrucks'],30.283955,-97.719833,2101 Manor Rd,78722,,4,1,https://www.yelp.com/biz/a-touch-of-fire-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
TADcupWSl7jzwLZvtWYe0w,Taqueria Lucerito,"['foodtrucks', 'mexican']",30.26734496,-97.73711797,519 E 7th St,78701,$,5,3,https://www.yelp.com/biz/taqueria-lucerito-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
YArn8seLr3LJmGewVH1NyQ,Lolita La Tampiqueña,"['foodtrucks', 'mexican']",30.331886,-97.869244,700 N Cuernavaca Dr,78733,$,4,10,https://www.yelp.com/biz/lolita-la-tampique%C3%B1a-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
EjWcBCj_ry46RPNSEr3rYg,Manon's Shared Kitchen,"['foodtrucks', 'kitchenincubators']",30.3561371,-97.7148308,8309 Research Blvd,78758,$,5,6,https://www.yelp.com/biz/manons-shared-kitchen-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
GuEJarqox2ezGSL9UyWGBg,The Food Monger Truck,['foodtrucks'],30.25871,-97.76624,,78704,$,5,3,https://www.yelp.com/biz/the-food-monger-truck-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
_ZaGHRQ3Z5g8PcWxda1I-w,Calle-jeros,"['mexican', 'foodtrucks']",30.23847968,-97.72681197,2237 E Riverside Dr,78741,$$,4,13,https://www.yelp.com/biz/calle-jeros-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
MxYFQxmLuIb-Vu278W5EMw,Trippy Tacos,"['foodtrucks', 'tacos']",30.23128704,-97.78718667,4205 Manchaca Rd,78704,$,5,19,https://www.yelp.com/biz/trippy-tacos-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
MBGuH6ZwsyhRIXq2MoLZdQ,Panchita Taco Taco,"['foodtrucks', 'tacos']",30.17204,-97.82533746,10006 Manchaca Rd,78748,,3.5,15,https://www.yelp.com/biz/panchita-taco-taco-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
dOjJ-I2gSDm-GoM-pf8sHQ,Crazy Mary's,"['foodtrucks', 'comfortfood', 'tradamerican']",30.16375,-97.7977499,Little Woodrows Southpark Meadows,78748,,3.5,5,https://www.yelp.com/biz/crazy-marys-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
m8g7EyLdNx5UHVHX6brkUQ,Tacos Las Amazonas,"['foodtrucks', 'mexican']",30.21222449,-97.7702415,4809 S Congress Ave,78745,$,5,32,https://www.yelp.com/biz/tacos-las-amazonas-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
as40jY6vmrgqXrcNTIGfrA,Austin Halal,"['mediterranean', 'foodtrucks']",30.263133,-97.7259289,1606 E 6th St,78702,$,4,31,https://www.yelp.com/biz/austin-halal-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
V4PxXkiTB4aHv0oV6d6OMA,Chiapita's Tacos,['foodtrucks'],30.31105423,-97.70707703,5327 Cameron Rd,78723,$,5,3,https://www.yelp.com/biz/chiapitas-tacos-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
p5Z7ofGo9nKKEy2Tt0Jzeg,Pita2Go,"['foodtrucks', 'falafel']",30.4023729,-97.8526331,11401 Ranch Rd,78730,$,5,1,https://www.yelp.com/biz/pita2go-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
LfYNDMqBPxZ2_XkddsIe8w,Native South Food Park,['foodtrucks'],30.16999982,-97.82538952,10106 Manchaca Rd,78748,$,3.5,7,https://www.yelp.com/biz/native-south-food-park-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
zWOGkE64d-lzPypaOqJbew,Casey's City Grill,['foodtrucks'],30.2674895,-97.7444994,510 Guadalupe St,78701,,5,3,https://www.yelp.com/biz/caseys-city-grill-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
Q7j-Ue40ZDX_CKPXjO_JBQ,Taqueria Los Chilangos,"['foodtrucks', 'mexican']",30.14731847,-97.83276413,11817 Mancha Rd,79748,,4,10,https://www.yelp.com/biz/taqueria-los-chilangos-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
u3tfcQ-tJBnXWJpZiXRg3Q,Taquerias La Escondida,['foodtrucks'],30.396964,-97.926137,3717 Ranch Rd 620 N,78734,$,5,1,https://www.yelp.com/biz/taquerias-la-escondida-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
Lp8-VWNMTMCebkfKj1I4yA,Conundrums,"['breakfast_brunch', 'foodtrucks', 'catering']",30.264296,-97.727911,1403 E 7th St,78702,$$,4.5,7,https://www.yelp.com/biz/conundrums-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
BZaA6jIkCKnLKnBMEQdUYA,Courson's BBQ,"['foodtrucks', 'bbq']",30.2184207,-97.7577561,509 E Ben White Blvd,78704,,4.5,19,https://www.yelp.com/biz/coursons-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
-1ShItlulHnBsoOQWnblzw,Super Burrito at the Water Tank,"['mexican', 'foodtrucks']",30.43508,-97.76645,7309 McNeil Dr,78729,$,4,35,https://www.yelp.com/biz/super-burrito-at-the-water-tank-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
T5Bie5M1TXaNoYytXaYT4Q,Keith's BBQ,"['foodtrucks', 'bbq']",30.2531581,-97.76393872,,78704,$,4.5,70,https://www.yelp.com/biz/keiths-bbq-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
qCTUdVpeWWj5rtvV2y3c9w,Taqueria La Libertad,"['foodtrucks', 'mexican']",30.27025,-97.697328,1104 Airport Blvd,78702,$,5,9,https://www.yelp.com/biz/taqueria-la-libertad-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
Z5I1wDa_KnZEWQ8JSeqL0A,BackDraft Pizzeria,"['foodtrucks', 'pizza', 'waffles']",30.32016482,-97.95249797,3595 Ranch Rd 620 S,78738,$$,5,240,https://www.yelp.com/biz/backdraft-pizzeria-bee-cave-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
cMB8pX870DZzTNg1TSGRVA,Revival Coffee,"['coffee', 'foodtrucks']",30.26427,-97.72776,1405 E 7th St,78702,$,4.5,424,https://www.yelp.com/biz/revival-coffee-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
nFyWh0aG7K9baDiMjmbggw,PitaLicious,"['foodtrucks', 'mediterranean', 'halal']",30.24853409,-97.75016333,1511 S Congress Ave,78704,$,4,86,https://www.yelp.com/biz/pitalicious-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
VqquyxpkI-2bsFNdX5P0uw,Psycha Delhi,['foodtrucks'],30.30843817,-97.74232708,4001 Marathon Blvd,78756,,4,1,https://www.yelp.com/biz/psycha-delhi-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
F_srwg62kT4t7X5Jv_3TaA,Aunt Fanny's,['foodtrucks'],30.34691958,-97.36979775,,78702,$,5,2,https://www.yelp.com/biz/aunt-fannys-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
kQ4p9pzEm8p9xDF5cuVlnQ,Coolhaus,"['foodtrucks', 'icecream', 'catering']",30.36946297,-97.70950317,,78758,,5,1,https://www.yelp.com/biz/coolhaus-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
1Fv2ep3E7JYvJKqn17lxdQ,Mama V's Quezzadillaville,"['foodtrucks', 'mexican']",30.26801,-97.7390099,7TH And Trinity,78701,$,3.5,26,https://www.yelp.com/biz/mama-vs-quezzadillaville-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw
