id,name,categories,latitude,longitude,address,zip_code,price,rating,review_count,url,walk_score
uiXs0_LRLlq0SqJ-o8GO9Q,Neapolitan Express,pizza ,30.26527,-97.74386,3rd St & Congress Ave,78701.0,,2.5,3,https://www.yelp.com/biz/neapolitan-express-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,99
0zvksdKNdqFCIfyvbxIs6g,Taqueria Mina,tex-mex breakfast_brunch ,30.17919253,-97.84007017,3004 Slaughter,78748.0,$,4.5,7,https://www.yelp.com/biz/taqueria-mina-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,46
euE_2MGHpzOtrkGKIkkPpA,Level Up,soup juicebars ,30.18529692,-97.79185608,7800 S 1st St,78745.0,$,5.0,74,https://www.yelp.com/biz/level-up-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,38
UyYQR6KG2-XEWcuUBsT97Q,Taqueria Jefes,streetvendors mexican ,30.22498909,-97.77069513,4110 S 1st St,78745.0,$,4.5,10,https://www.yelp.com/biz/taqueria-jefes-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,70
PIr8AgndIIYZvS9XwGLBuQ,Soco Burgers,burgers foodstands argentine ,30.185246999999997,-97.79214499999999,7800 S 1st St,78745.0,$,4.0,78,https://www.yelp.com/biz/soco-burgers-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,41
yz8uGQJlR7M70dz45Adcmg,"Los Queretanos Comida Mexicana, BBQ Y Mucho Mas",mexican ,30.210175,-97.651863,2777 Hwy 71 E,78617.0,,5.0,1,https://www.yelp.com/biz/los-queretanos-comida-mexicana-bbq-y-mucho-mas-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,9
OdQxJxTNTFDP8HfqapS4sA,Tacos Garcilita,mexican ,30.19939,-97.77584,6201 S Congress Ave,78745.0,,5.0,1,https://www.yelp.com/biz/tacos-garcilita-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,60
q7mbPAK0g_9jbZL2dHANIA,La Flor,mexican foodstands ,30.214376,-97.776657,4901 S 1st St,78745.0,$,4.5,32,https://www.yelp.com/biz/la-flor-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,44
rqgUGsOqpJcIUjlnyXTMfg,Casita Nicole,mexican foodstands ,30.39189164,-97.6821135,12030 N Lamar Blvd,78753.0,,5.0,2,https://www.yelp.com/biz/casita-nicole-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,37
onw3rs2-13aARiHpA3XPyw,Texas Ice House Sno-Balls,shavedice ,30.19985901,-97.80801949,,78745.0,$,4.5,3,https://www.yelp.com/biz/texas-ice-house-sno-balls-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,57
4XSH2keAzoTrN_KMQOvvlA,Taqueria Piedra Grande,unknown,30.35976584,-97.69048186,408 E Rundberg Ln,78753.0,$,5.0,1,https://www.yelp.com/biz/taqueria-piedra-grande-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,64
nhyzPyny7u58eYW0djkPrw,Papalote Taco House,tacos ,30.226609999999997,-97.76223,3632 S Congress Ave,78704.0,$,4.0,38,https://www.yelp.com/biz/papalote-taco-house-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,69
OisUeKWg0s8bTflg0Z97Ew,South Austin Sno,icecream ,30.218414000000003,-97.795941,5300 Manchaca Rd,78745.0,$,4.5,37,https://www.yelp.com/biz/south-austin-sno-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,60
iprkfoFv7JR3J1Dt5cIwyg,Mission Dogs,hotdog asianfusion newamerican ,30.257578999999996,-97.726537,1701 E Cesar Chavez St,78702.0,$,4.5,71,https://www.yelp.com/biz/mission-dogs-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,87
Rp347VVVCKzcJ-pGIl4DPQ,Elsie's Egg Rolls,filipino ,30.543570000000003,-97.54293,,78634.0,$,4.5,17,https://www.yelp.com/biz/elsies-egg-rolls-hutto?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,55
jUiS3w1HX6qhEzNduA3oVw,Tyson's Tacos,mexican coffee breakfast_brunch ,30.30962298,-97.7153486,4905 Airport Blvd,78751.0,$,4.0,561,https://www.yelp.com/biz/tysons-tacos-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,66
QnjTzGGueOsdabHqvWosQA,Baby Acapulco,mexican ,30.24457502,-97.72967587,1705 S Lakeshore Blvd,78741.0,$$,2.5,99,https://www.yelp.com/biz/baby-acapulco-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,77
IhjL6tHWz5y2aNK-2U02BA,Liberation Kitchen,restaurants ,30.38261063,-97.72003021,2314 Rutland Dr,78758.0,,4.5,3,https://www.yelp.com/biz/liberation-kitchen-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,42
OlBWDMIfCKCTp7dbI6aRSA,Livy Lu New Orleans Style Snowballs,desserts shavedice ,30.19427805,-97.9248195,12024 Hwy 290 W,78758.0,$,5.0,3,https://www.yelp.com/biz/livy-lu-new-orleans-style-snowballs-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,24
9UsElPIjW7Zqo-2_GUZkXg,Taqueria el Torito,tacos ,30.27031,-97.69738000000001,1140 Airport Blvd,78702.0,$,5.0,4,https://www.yelp.com/biz/taqueria-el-torito-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,69
qiZtMngjB06kL06CrRCPlA,Raul's Tacqueria,localflavor importedfood ,30.35856482,-97.68939567,589-761 East Rundberg Ln,78753.0,$,1.5,3,https://www.yelp.com/biz/rauls-tacqueria-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,66
xq0XeA-IjFYdMPdhQgplnQ,Texas Ranch BBQ,bbq tacos ,30.226609999999997,-97.76223,3632 S Congress Ave,78704.0,$$,4.5,65,https://www.yelp.com/biz/texas-ranch-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,69
5Gs8O8uSdE_91qQiZ5NlFw,Liberation Fish,seafood fishnchips ,30.2610311,-97.7575679,1210 Barton Springs Rd,78704.0,,3.5,2,https://www.yelp.com/biz/liberation-fish-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,86
oFK54UMOZdXvo2bMYQM3Qw,Kinfolk BBQ,bbq ,30.285715999999997,-97.681696,4611 Martin Luther King Blvd E,78721.0,$,4.5,19,https://www.yelp.com/biz/kinfolk-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,37
