Id,Name,Categories,Latitude,Longitude,Address,Zip Code,Price,Rating,Review Count,Url,Walk Score,First Review Date,Category
5Gs8O8uSdE_91qQiZ5NlFw,Liberation Fish,"['seafood', 'fishnchips', 'foodtrucks']",30.2610311,-97.7575679,1210 Barton Springs Rd,78704.0,,3.5,2,https://www.yelp.com/biz/liberation-fish-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,86.0,3/14/2018,fishnchips
w5rO26sXVp-x6TpG7UdXBQ,D Chuck Wagon,"['foodtrucks', 'burgers']",30.34175,-97.55556,,78653.0,,5.0,8,https://www.yelp.com/biz/d-chuck-wagon-manor?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,50.0,3/16/2018,burgers
2yZgqF0mE06-9NJrad9WOQ,Simply WOW,"['creperies', 'sandwiches', 'foodtrucks']",30.26724277,-97.7370677,519 E 7th St,78701.0,,3.0,6,https://www.yelp.com/biz/simply-wow-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,94.0,3/16/2018,sandwiches
8dCblabf-3Ns_tysB1o2Kg,Smokin' It Up BBQ,"['bbq', 'foodtrucks']",30.52801,-97.62505,5430 US-79,78665.0,$$,4.5,6,https://www.yelp.com/biz/smokin-it-up-bbq-round-rock-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,28.0,3/18/2018,
9nRagOARtxoMtiKdC-x05A,Antojitos Hondureños Gaby,"['honduran', 'foodtrucks']",30.17932,-97.84023,3008 W Slaughter Ln,78748.0,,5.0,2,https://www.yelp.com/biz/antojitos-hondure%C3%B1os-gaby-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,47.0,3/21/2018,
qzvOcD8ft4f4yriejX8Zvw,Chi-Chi's Food Truck,"['foodtrucks', 'hotdogs', 'burgers']",30.26116125,-97.71376524,2410 E 7th St,78702.0,$$,5.0,15,https://www.yelp.com/biz/chi-chis-food-truck-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,89.0,3/23/2018,hotdogs
B8G1cDPpNaKpHBp5FEbMxA,Dian's,"['foodtrucks', 'burgers', 'sandwiches']",30.46257,-98.16069,9334 TX-71,78669.0,,4.5,9,https://www.yelp.com/biz/dians-spicewood?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,22.0,3/23/2018,burgers
I5dULpCR7QX1XFoF8MPgRA,Afia Foods,"['foodtrucks', 'mediterranean']",30.32118,-97.7395,5000 Burnet Rd,78756.0,$,4.5,21,https://www.yelp.com/biz/afia-foods-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,84.0,3/24/2018,mediterranean
b7_plIyHDyv0BXTmTNIhdg,Don's Smokehouse Bbq,"['foodtrucks', 'bbq']",30.524179999999998,-97.63457,5420 E Palm Valley Blvd,78665.0,,3.0,1,https://www.yelp.com/biz/dons-smokehouse-bbq-round-rock?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,20.0,3/24/2018,bbq
Ovir9G_KtMdk0mzCvtdpdQ,Pinch,"['foodtrucks', 'asianfusion']",30.283499499999998,-97.7398858,2100 University Ave,78705.0,$,3.5,8,https://www.yelp.com/biz/pinch-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,86.0,3/29/2018,asianfusion
M6_5UEO3ya_plGcsnCV-vA,Falafel Fusion,"['foodtrucks', 'falafel']",30.35292,-97.75394,3563 Far West Blvd,78731.0,,5.0,17,https://www.yelp.com/biz/falafel-fusion-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,70.0,3/31/2018,falafel
0TbiJeKi-0oDlymfScGf-Q,El Taconazo,"['foodtrucks', 'mexican']",30.28468983,-97.65831018,6530 Fm 969,78724.0,,4.5,2,https://www.yelp.com/biz/el-taconazo-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,17.0,3/31/2018,mexican
X5gSjjYP4bgIUHTIVzOt1A,Sabor Tapatio,"['foodtrucks', 'tacos']",30.20461,-97.77531,5604 S Congress Ave,78745.0,$,5.0,14,https://www.yelp.com/biz/sabor-tapatio-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,62.0,4/4/2018,tacos
wUY8DGQCKoAaeVagIjenBQ,Pustka Family Barbeque,"['foodtrucks', 'bbq']",30.53534852,-97.54335426,550 South Fm 1660,78634.0,,5.0,6,https://www.yelp.com/biz/pustka-family-barbeque-hutto?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,43.0,4/7/2018,bbq
Mjqvu9O7Mw-rCuKIx4ZMug,Sumtin' Marbelous BBQ,"['foodtrucks', 'bbq']",29.779905,-96.1547377,10208 Brownie Dr,77474.0,,5.0,1,https://www.yelp.com/biz/sumtin-marbelous-bbq-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,53.0,4/8/2018,bbq
p3B6eJbEC4JIbsBlJy9sjw,Sazon Catracho,"['foodtrucks', 'honduran']",30.21841328,-97.76535473,4329 S Congress Ave,78745.0,,5.0,3,https://www.yelp.com/biz/sazon-catracho-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,66.0,4/13/2018,honduran
3AGDyk6AdnCAxY8Am2XqAw,Golden Tiger,"['foodtrucks', 'comfortfood', 'sandwiches']",30.26037,-97.73848000000001,90 Rainey St,78701.0,,5.0,23,https://www.yelp.com/biz/golden-tiger-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,90.0,4/13/2018,comfortfood
yV01eojIM0Om-LxJVnusMQ,Jewhungry?,"['foodtrucks', 'delis', 'kosher']",30.22565,-97.76274000000001,3808 South Congress Ave,78704.0,$,5.0,6,https://www.yelp.com/biz/jewhungry-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,72.0,4/16/2018,delis
Pxd9BjsnpNBFeUY_tkacXQ,Raw808 Super Food Smoothies,['foodtrucks'],30.38263,-97.68665,11300 N Lamar Blvd,78753.0,,4.5,2,https://www.yelp.com/biz/raw808-super-food-smoothies-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,59.0,4/16/2018,
